method,K,dseed,init_seed,eps,recall,precision,f1,soft_error,n_found,n_hits,n_correct,nfe
v3f2,2,0,0,1.0,1.0,1.0,1.0,0.4690579744866651,2,2,2,14470
v3f2,2,0,0,1.5,1.0,1.0,1.0,0.4690579744866651,2,2,2,14470
v3f2,2,0,0,2.0,1.0,1.0,1.0,0.4690579744866651,2,2,2,14470
v3f2,2,0,0,2.5,1.0,1.0,1.0,0.4690579744866651,2,2,2,14470
v3f2,2,0,0,3.0,1.0,1.0,1.0,0.4690579744866651,2,2,2,14470
b0,2,0,0,1.0,1.0,0.01872175597159458,0.036755386565272496,0.720304252413222,1549,2,29,2000000
b0,2,0,0,1.5,1.0,0.25177533892834086,0.4022692109334709,0.720304252413222,1549,2,390,2000000
b0,2,0,0,2.0,1.0,0.7191736604260813,0.8366503942921516,0.720304252413222,1549,2,1114,2000000
b0,2,0,0,2.5,1.0,0.9567462879276953,0.97789508413065,0.720304252413222,1549,2,1482,2000000
b0,2,0,0,3.0,1.0,0.9967721110393802,0.9983834464920788,0.720304252413222,1549,2,1544,2000000
b10,2,0,0,1.0,1.0,0.5615866388308977,0.7192513368983957,0.4566952587458023,479,2,269,2020000
b10,2,0,0,1.5,1.0,0.9373695198329853,0.9676724137931033,0.4566952587458023,479,2,449,2020000
b10,2,0,0,2.0,1.0,0.9958246346555324,0.997907949790795,0.4566952587458023,479,2,477,2020000
b10,2,0,0,2.5,1.0,1.0,1.0,0.4566952587458023,479,2,479,2020000
b10,2,0,0,3.0,1.0,1.0,1.0,0.4566952587458023,479,2,479,2020000
v3f2,2,0,1,1.0,1.0,1.0,1.0,0.4697502419291212,2,2,2,14940
v3f2,2,0,1,1.5,1.0,1.0,1.0,0.4697502419291212,2,2,2,14940
v3f2,2,0,1,2.0,1.0,1.0,1.0,0.4697502419291212,2,2,2,14940
v3f2,2,0,1,2.5,1.0,1.0,1.0,0.4697502419291212,2,2,2,14940
v3f2,2,0,1,3.0,1.0,1.0,1.0,0.4697502419291212,2,2,2,14940
b0,2,0,1,1.0,1.0,0.021724818959842,0.04252577319587629,0.7354769730524102,1519,2,33,2000000
b0,2,0,1,1.5,1.0,0.26135615536537193,0.4144050104384134,0.7354769730524102,1519,2,397,2000000
b0,2,0,1,2.0,1.0,0.727452271231073,0.8422256097560975,0.7354769730524102,1519,2,1105,2000000
