run_name,modes_path,checkpoint,method,r_value,seed,n_samples,selection_flag,k_neighbors,radius,label_index,population,cell_count,covered_any_candidate_pct,covered_label_consistent_pct
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.25,0,CD11b-_Monocyte_cells,912,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.25,1,Mature_CD38mid_B_cells,608,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.25,2,Mature_CD4+_T_cells,13964,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.25,3,Mature_CD8+_T_cells,7821,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.25,4,Megakaryocyte_cells,3684,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.25,5,MEP_cells,194,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.25,6,MPP_cells,152,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.25,7,Myelocyte_cells,3025,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.25,8,Naive_CD4+_T_cells,6987,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.25,9,Naive_CD8+_T_cells,9564,0.0,0.0
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.25,10,NK_cells,3864,0.0,0.0
