run_name,modes_path,checkpoint,method,r_value,seed,n_samples,selection_flag,k_neighbors,purity_threshold,max_unassigned_fraction,retained_candidates,radius,all_cells_any_candidate_pct,labeled_cells_any_candidate_pct,labeled_cells_label_consistent_pct
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.9,0.2,604,0.25,0.0005986446684705827,0.0012232864814610935,0.0012232864814610935
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.9,0.2,604,0.5,0.17719882186729247,0.34007364184618394,0.3315106364759563
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.9,0.2,604,0.8,3.5499628840305544,6.677920902296108,6.38800200618983
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.9,0.2,604,1.0,11.101865376786954,20.27475014373616,19.5126426657859
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.9,0.2,604,1.5,44.15243887837935,68.88203848459271,66.61161877500092
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.9,0.2,604,2.0,73.32678815162473,92.5673113386424,90.14765067831235
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,confident_without_distance,100,0.9,0.2,319,0.25,0.0005986446684705827,0.0012232864814610935,0.0012232864814610935
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,confident_without_distance,100,0.9,0.2,319,0.5,0.144872009769881,0.28502575018043474,0.2825791772175126
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,confident_without_distance,100,0.9,0.2,319,0.8,2.9585019515816193,5.70540814953454,5.6271178147210295
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,confident_without_distance,100,0.9,0.2,319,1.0,9.313713752065324,17.571287019707146,17.24344624267557
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,confident_without_distance,100,0.9,0.2,319,1.5,35.53375158640837,60.40466316806733,58.44006507884081
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,confident_without_distance,100,0.9,0.2,319,2.0,56.89339335743876,84.00063610897035,81.13692245586994
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,all_raw,100,0.9,0.2,613,0.25,0.0005986446684705827,0.0012232864814610935,0.0012232864814610935
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,all_raw,100,0.9,0.2,613,0.5,0.1616340604870573,0.31316133925403994,0.30582162036527333
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,all_raw,100,0.9,0.2,613,0.8,3.2219056057086757,6.113985834342545,5.864435392124482
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,all_raw,100,0.9,0.2,613,1.0,10.482866789588371,19.20926761838355,18.408014973026532
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,all_raw,100,0.9,0.2,613,1.5,43.935130863724524,69.47410914161988,67.12539909721458
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,all_raw,100,0.9,0.2,613,2.0,73.50937477550825,93.23644904400162,90.65653785460017
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,confident_without_distance,100,0.9,0.2,319,0.25,0.0005986446684705827,0.0012232864814610935,0.0012232864814610935
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,confident_without_distance,100,0.9,0.2,319,0.5,0.12511673571035176,0.25444358814390744,0.25444358814390744
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,confident_without_distance,100,0.9,0.2,319,0.8,2.6466080793084457,5.170831957136042,5.1426963680624365
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,confident_without_distance,100,0.9,0.2,319,1.0,8.90843131151074,16.77125766083159,16.43363059194833
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,confident_without_distance,100,0.9,0.2,319,1.5,35.93364622494672,61.471368979901406,59.29147246993773
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,confident_without_distance,100,0.9,0.2,319,2.0,57.84044922295922,85.3731635411697,81.34121129827395
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,all_raw,100,0.9,0.2,599,0.25,0.0005986446684705827,0.0012232864814610935,0.0012232864814610935
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,all_raw,100,0.9,0.2,599,0.5,0.199348674600704,0.3877818146231666,0.3816653822158611
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,all_raw,100,0.9,0.2,599,0.8,3.0931970019875004,5.913366851382925,5.691951998238467
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,all_raw,100,0.9,0.2,599,1.0,10.19372141471708,18.838611814500837,18.25755073580682
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,all_raw,100,0.9,0.2,599,1.5,43.61844783410359,68.919960365518,66.97860471943925
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,all_raw,100,0.9,0.2,599,2.0,72.6640885036278,92.67985369493682,90.66265428700747
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,confident_without_distance,100,0.9,0.2,318,0.25,0.0005986446684705827,0.0012232864814610935,0.0012232864814610935
