group,label_index,k_neighbors,n_reference_cells,mean,median,q90,q95,q99,selected_quantile,selected_threshold
__global__,,25,20000,1.2079317348787808,1.155246343549551,1.6969748676394538,1.8938762860539928,2.317496404882697,0.95,1.8938762860539928
__global__,,50,20000,1.2968728071445002,1.2407697031522298,1.8135938203188593,2.0265906448367645,2.479083960874116,0.95,2.0265906448367645
__global__,,100,20000,1.3962673431202526,1.3361471464922667,1.9466982552955874,2.168480640079183,2.659455302181289,0.95,2.168480640079183
__global__,,200,20000,1.507717663627727,1.4435753767944774,2.094105351977902,2.326548879915341,2.862689392094628,0.95,2.326548879915341
CD11b-_Monocyte_cells,0.0,25,912,1.3115488485793079,1.2732894262432661,1.601347318782615,1.7012660425597737,1.970568365469625,0.95,1.7012660425597737
CD11b-_Monocyte_cells,0.0,50,912,1.4092649226081893,1.373966179938758,1.7097998433565822,1.8096334990491554,2.092469363716647,0.95,1.8096334990491554
CD11b-_Monocyte_cells,0.0,100,912,1.5183212446742347,1.479429878126802,1.8221049325334597,1.9376289412858327,2.242872769572977,0.95,1.9376289412858327
CD11b-_Monocyte_cells,0.0,200,912,1.641233752208552,1.5993550745137801,1.9491691652638674,2.076889138365224,2.3876015164709465,0.95,2.076889138365224
Mature_CD38mid_B_cells,1.0,25,608,1.5435759891373215,1.5107207336925819,1.9045953972104626,2.0768324568139476,2.425149710269675,0.95,2.0768324568139476
Mature_CD38mid_B_cells,1.0,50,608,1.6685195545987634,1.633778417043596,2.0381425655081418,2.2262974491066667,2.5437500659633243,0.95,2.2262974491066667
Mature_CD38mid_B_cells,1.0,100,608,1.8119189726928084,1.7845182220226543,2.19101586311252,2.3773211067976674,2.6645376358247064,0.95,2.3773211067976674
Mature_CD38mid_B_cells,1.0,200,608,1.974920452176411,1.9426639291821026,2.3586014581905546,2.529521851269496,2.7858341222161656,0.95,2.529521851269496
Mature_CD4+_T_cells,2.0,25,2000,0.9574479497261511,0.9207310094964093,1.2698475888211054,1.3998376867061995,1.7540134559311003,0.95,1.3998376867061995
Mature_CD4+_T_cells,2.0,50,2000,1.0278160116389476,0.9876078855516862,1.3545416963979828,1.494768584389626,1.8740397620664961,0.95,1.494768584389626
Mature_CD4+_T_cells,2.0,100,2000,1.1068818268790601,1.0645604345500437,1.4496361289881654,1.598742696584766,1.955909455668306,0.95,1.598742696584766
Mature_CD4+_T_cells,2.0,200,2000,1.1955167459943943,1.1474989913838964,1.5550066335980033,1.7099389151161217,2.0771230996977303,0.95,1.7099389151161217
Mature_CD8+_T_cells,3.0,25,2000,1.076050995413622,1.040695925681585,1.3586926299621853,1.4772503908615073,1.838187376900946,0.95,1.4772503908615073
Mature_CD8+_T_cells,3.0,50,2000,1.1547499754998012,1.1165398376436064,1.4502639296301008,1.5708550522966853,1.9591769209580563,0.95,1.5708550522966853
Mature_CD8+_T_cells,3.0,100,2000,1.2429326423350062,1.2048100407272857,1.5519186115957815,1.6728036656953462,2.052719283949432,0.95,1.6728036656953462
Mature_CD8+_T_cells,3.0,200,2000,1.3419459000424203,1.300504156458531,1.6650821913928762,1.7929016082906561,2.1803793809964933,0.95,1.7929016082906561
Megakaryocyte_cells,4.0,25,2000,0.9233400699055014,0.8876926715517603,1.3346332039401567,1.4723941387869421,1.7941715250979016,0.95,1.4723941387869421
Megakaryocyte_cells,4.0,50,2000,0.9969069520798289,0.9588422905376985,1.4243996124108995,1.5700764238075509,1.8957422870969545,0.95,1.5700764238075509
Megakaryocyte_cells,4.0,100,2000,1.0792898075485655,1.0417754462148732,1.52730087628242,1.6730913314330504,2.0168099762623584,0.95,1.6730913314330504
Megakaryocyte_cells,4.0,200,2000,1.172051092201065,1.1346175131067904,1.6376325233318147,1.7862946151523162,2.1773807459600976,0.95,1.7862946151523162
MEP_cells,5.0,25,194,1.5507454387325508,1.5384572141911816,1.836399691063159,1.9870541803981259,2.085661696844666,0.95,1.9870541803981259
MEP_cells,5.0,50,194,1.6729311309437769,1.6513547542340898,1.9519596961832415,2.0912433922357923,2.2054923914286304,0.95,2.0912433922357923
MEP_cells,5.0,100,194,1.812233229812738,1.7807226407249468,2.1224081812273816,2.215506288402152,2.33943750404801,0.95,2.215506288402152
MEP_cells,5.0,200,194,1.9715765375855767,1.9528367857301,2.2942586047052824,2.367651304755708,2.5350156618275337,0.95,2.367651304755708
MPP_cells,6.0,25,152,1.5825648034102355,1.4905245726891256,1.888950192493124,2.189685957629737,3.570370150357105,0.95,2.189685957629737
