mode_id,score_norm_before,score_norm_after,extra_ascent_displacement,perturb_endpoint_distance_mean,perturb_endpoint_distance_max,attraction_fraction_r0.05,attraction_fraction_r0.1,attraction_fraction_r0.2,x_0,refined_x_0,x_1,refined_x_1,x_2,refined_x_2,x_3,refined_x_3,x_4,refined_x_4,x_5,refined_x_5,x_6,refined_x_6,x_7,refined_x_7,x_8,refined_x_8,x_9,refined_x_9,x_10,refined_x_10,x_11,refined_x_11,x_12,refined_x_12,run_name,modes_path,checkpoint,method,r_value,seed
0,14.054716,1.6643989,0.6680187,0.28121102,1.0273463,0.25,0.5,0.75,0.5919291,0.6009478,-0.4812423,-0.37493747,-0.5243597,-0.5263357,-0.5604028,-0.898967,1.6786666,1.6973978,0.16497116,0.32534322,-0.028569197,0.11654056,-0.69100857,-0.68871135,-0.86546826,-0.86139566,-0.4501991,-0.760541,-0.78786427,-0.69788074,-0.68282557,-1.0555822,0.9397945,1.112224,labeled_v2_R2_seed0,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed0.npy,labeled,v2,2.0,0
1,13.69548,3.13769,0.84782493,0.06974404,0.117649674,0.25,0.75,1.0,0.4884752,0.5839206,-0.6190142,-0.74352777,-0.0705364,0.44237474,1.5728595,1.9398478,-0.1548997,-0.22162308,-0.77423364,-0.7806488,0.8377042,1.0546142,-0.10922825,0.3545269,1.7872154,1.8251904,0.75506204,0.60737246,0.70860237,0.6683807,0.6635127,0.5956123,-0.73963505,-0.72117406,labeled_v2_R2_seed0,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed0.npy,labeled,v2,2.0,0
2,8.974693,4.507753,0.69273984,0.13113743,0.1668688,0.0,0.125,1.0,0.5660197,0.6949232,1.5905064,1.7982093,2.550422,2.7893333,-0.9229146,-0.9207257,-0.91261154,-0.9165489,-0.77472067,-0.78040904,-0.107524894,0.24430445,2.267158,2.3314993,-0.3873864,0.09050535,-0.79923654,-0.799914,-0.06329567,0.003526589,0.07737493,0.034876987,-1.083764,-1.0631574,labeled_v2_R2_seed0,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed0.npy,labeled,v2,2.0,0
3,20.251366,3.0715044,0.69962984,0.05024106,0.12636663,0.625,0.875,1.0,0.5294949,0.50481135,1.3856767,1.345472,-0.52013195,-0.51368034,-0.5677383,-0.89467955,-0.6488027,-0.9021982,1.9019222,1.8588692,-0.7702754,-0.77233833,0.18554537,0.19885077,-0.8873802,-0.88547736,-0.09618677,0.35494256,-0.49060172,-0.5776129,-0.2430712,0.07050486,0.669817,0.60156953,labeled_v2_R2_seed0,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed0.npy,labeled,v2,2.0,0
4,6.6533093,4.8065352,0.7978392,0.36094552,0.7007071,0.25,0.25,0.5,0.7012686,0.72017604,-0.63579977,-0.67092544,-0.52555895,-0.5247768,-0.9176336,-0.9096674,-0.9006804,-0.90276736,2.0193567,2.0759723,-0.26033112,-0.78071,-0.68421537,-0.68567246,-0.8681984,-0.86758125,-0.77069247,-0.7728482,-0.81509125,-0.64213717,-0.4614189,0.1101297,0.87788415,0.94346046,labeled_v2_R2_seed0,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed0.npy,labeled,v2,2.0,0
5,8.273492,5.1988544,0.7064159,0.091739714,0.119549334,0.0,0.75,1.0,0.5010503,0.56711864,1.1225015,1.2352135,2.5805986,2.7758176,-0.8867569,-0.8869769,-0.9099828,-0.91138303,-0.77033085,-0.7698325,0.5335765,0.62723416,2.458419,2.8093271,-0.24745797,-0.034292053,1.445232,1.4599587,-0.00022597132,0.024595072,-0.6363302,-0.13372356,-1.0530175,-0.9387923,labeled_v2_R2_seed0,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed0.npy,labeled,v2,2.0,0
6,8.990581,2.586217,0.76244926,0.14431976,0.92049974,0.875,0.875,0.875,0.40268782,0.45940384,0.9975841,1.0420781,-0.53029203,-0.5313958,-0.9012136,-0.8941131,1.5078591,1.5995041,0.06534935,0.16754678,-0.33263105,-0.77917576,-0.20178586,0.16085674,-0.89310956,-0.8988636,-0.7727322,-0.7733993,-0.07039091,0.1278528,-0.6463058,-1.0742835,0.996041,1.0579027,labeled_v2_R2_seed0,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed0.npy,labeled,v2,2.0,0
7,3.352201,2.308365,0.27692914,0.02753069,0.052778356,0.875,1.0,1.0,-1.0267706,-1.0402683,-0.98523134,-0.9763641,-0.52774984,-0.527709,-0.90435505,-0.9047724,-0.9087194,-0.9109105,-0.7733393,-0.7712767,-0.7887696,-0.79041386,-0.69665766,-0.696655,0.1795422,0.1074687,-0.7731433,-0.7753945,-0.038352937,-0.060929623,-0.09455269,0.1422469,-0.018885192,0.10208418,labeled_v2_R2_seed0,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed0.npy,labeled,v2,2.0,0
8,11.547059,4.883854,0.8211283,0.05941496,0.09735998,0.375,1.0,1.0,-0.7391504,-0.95621365,-0.98410994,-1.0593113,-0.52975804,-0.5255713,-0.8776959,-0.88724875,-0.18238132,-0.14025511,-0.7775541,-0.76715523,1.0741525,0.64408326,-0.70735776,-0.70171624,0.7097593,0.3381398,-0.7659362,-0.7733167,0.36427006,-0.01247336,-0.032388393,0.23687363,-0.7713227,-0.485134,labeled_v2_R2_seed0,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed0.npy,labeled,v2,2.0,0
9,10.490655,7.724919,0.8508209,0.07500774,0.1444714,0.25,0.875,1.0,-0.21806525,-0.088715926,0.22918516,0.30742237,2.3391821,3.028104,-0.8822701,-0.8651714,-0.9123856,-0.912188,-0.77568996,-0.7742294,0.8543601,0.96197766,0.6199352,0.7777519,-0.10346135,0.09289784,0.17341736,0.18687448,1.6480387,1.7171159,-1.0215117,-0.97881144,-1.1431953,-1.5230838,labeled_v2_R2_seed0,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed0.npy,labeled,v2,2.0,0
