run_name,modes_path,checkpoint,method,r_value,seed,raw_modes,median_score_norm_before,median_score_norm_after,median_extra_ascent_displacement,q95_extra_ascent_displacement,mean_perturb_endpoint_distance,elapsed_sec,ascent_steps,ascent_alpha,perturbations,perturb_sigma,mean_attraction_fraction_r0.05,fully_stable_candidates_r0.05_pct,mean_attraction_fraction_r0.1,fully_stable_candidates_r0.1_pct,mean_attraction_fraction_r0.2,fully_stable_candidates_r0.2_pct
labeled_v2_R2_seed0,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed0.npy,labeled,v2,2.0,0,20,8.94551944732666,4.022096157073975,0.6961848735809326,0.8772680461406711,0.103626549243927,0.6147238750127144,100,0.001,8,0.05,0.375,0.0,0.7375,30.0,0.9375,75.0
labeled_v2_R2_seed1,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed1.npy,labeled,v2,2.0,1,20,7.660296440124512,2.658384323120117,0.6212269067764282,0.9058012366294863,0.11695168167352676,0.08807691701804288,100,0.001,8,0.05,0.4,5.0,0.8,45.0,0.90625,80.0
labeled_v2_R2_seed2,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed2.npy,labeled,v2,2.0,2,21,7.421408176422119,3.3828015327453613,0.5241697430610657,0.8872302174568176,0.11070474982261658,0.1747288330225274,100,0.001,8,0.05,0.3273809523809524,0.0,0.8035714285714286,42.857142857142854,0.9226190476190477,76.19047619047619
labeled_v2_R2_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed3.npy,labeled,v2,2.0,3,22,9.550289154052734,3.995180130004883,0.5961490869522095,1.101779606938362,0.08244416862726212,0.2966300840198528,100,0.001,8,0.05,0.30113636363636365,0.0,0.7613636363636364,22.727272727272727,0.9829545454545454,86.36363636363636
labeled_v2_R2_seed4,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v2_R2/modes_labeled_v2_R2_seed4.npy,labeled,v2,2.0,4,23,9.123417854309082,3.041841506958008,0.4897534251213074,0.9846369385719297,0.06801272183656693,0.14220125001156703,100,0.001,8,0.05,0.391304347826087,4.3478260869565215,0.8206521739130435,43.47826086956522,0.9836956521739131,91.30434782608695
labeled_v3f1_R2_seed0,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f1_R2/modes_labeled_v3f1_R2_seed0.npy,labeled,v3f1,2.0,0,20,8.676769256591797,3.946863889694214,0.6902509927749634,0.8783163160085682,0.10792192071676254,0.0904778330004774,100,0.001,8,0.05,0.3125,5.0,0.73125,35.0,0.9375,70.0
labeled_v3f1_R2_seed1,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f1_R2/modes_labeled_v3f1_R2_seed1.npy,labeled,v3f1,2.0,1,20,7.595399379730225,2.6304519176483154,0.5974858999252319,0.9190543413162234,0.09323568642139435,0.09121170901926234,100,0.001,8,0.05,0.3375,0.0,0.79375,30.0,0.95,75.0
labeled_v3f1_R2_seed2,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f1_R2/modes_labeled_v3f1_R2_seed2.npy,labeled,v3f1,2.0,2,21,7.502885341644287,3.41611909866333,0.5260552763938904,0.8455345034599304,0.09915371984243393,0.09045337501447648,100,0.001,8,0.05,0.3869047619047619,9.523809523809524,0.7321428571428571,38.095238095238095,0.9345238095238095,76.19047619047619
labeled_v3f1_R2_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f1_R2/modes_labeled_v3f1_R2_seed3.npy,labeled,v3f1,2.0,3,22,9.392810821533203,3.9524457454681396,0.5850005149841309,1.1255150854587554,0.07375800609588623,0.09160945800249465,100,0.001,8,0.05,0.32386363636363635,4.545454545454546,0.7727272727272727,22.727272727272727,0.9829545454545454,90.9090909090909
labeled_v3f1_R2_seed4,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f1_R2/modes_labeled_v3f1_R2_seed4.npy,labeled,v3f1,2.0,4,22,9.65386962890625,3.3640973567962646,0.5091880559921265,1.047745069861412,0.09444368630647659,0.08976708399131894,100,0.001,8,0.05,0.3068181818181818,0.0,0.7954545454545454,31.818181818181817,0.9431818181818182,77.27272727272727
labeled_v3f2_R0.8_seed0,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed0.npy,labeled,v3f2,0.8,0,168,9.843661308288574,4.07181453704834,0.5558438301086426,1.1343259513378146,0.08735579252243042,0.1540655829885509,100,0.001,8,0.05,0.33779761904761907,0.5952380952380952,0.7819940476190477,36.30952380952381,0.9605654761904762,83.33333333333334
labeled_v3f2_R0.8_seed1,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed1.npy,labeled,v3f2,0.8,1,171,9.335455894470215,3.6363117694854736,0.5305055379867554,1.037398636341095,0.08785534650087357,0.21268754097400233,100,0.001,8,0.05,0.3223684210526316,4.093567251461988,0.7448830409356725,29.82456140350877,0.9568713450292398,81.87134502923976
labeled_v3f2_R0.8_seed2,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed2.npy,labeled,v3f2,0.8,2,169,9.050793647766113,3.8035073280334473,0.5578447580337524,1.316164183616638,0.08901061117649078,0.2290262090100441,100,0.001,8,0.05,0.34763313609467456,3.5502958579881656,0.7855029585798816,33.13609467455622,0.9585798816568047,84.02366863905326
labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3,174,9.402486801147461,3.4410629272460938,0.5087730884552002,1.1763182103633878,0.09377884119749069,0.40972825000062585,100,0.001,8,0.05,0.33045977011494254,1.1494252873563218,0.7586206896551724,32.18390804597701,0.944683908045977,83.33333333333334
labeled_v3f2_R0.8_seed4,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed4.npy,labeled,v3f2,0.8,4,161,8.803668975830078,3.3442749977111816,0.5110164284706116,1.1273889541625977,0.08355683088302612,0.15219595801318064,100,0.001,8,0.05,0.35093167701863354,2.484472049689441,0.797360248447205,39.75155279503105,0.9572981366459627,84.472049689441
labeled_v3f2_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R1.5_seed0.npy,labeled,v3f2,1.5,0,59,12.307193756103516,4.910336971282959,0.708082377910614,1.2938945412635796,0.1226462572813034,0.13918370800092816,100,0.001,8,0.05,0.23940677966101695,3.389830508474576,0.6673728813559322,25.423728813559322,0.913135593220339,71.1864406779661
labeled_v3f2_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R1.5_seed1.npy,labeled,v3f2,1.5,1,51,9.874094009399414,3.796191930770874,0.584029495716095,1.196570098400116,0.1025107353925705,0.31079262497951277,100,0.001,8,0.05,0.24509803921568626,3.9215686274509802,0.6985294117647058,23.52941176470588,0.9411764705882353,72.54901960784314
labeled_v3f2_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R1.5_seed2.npy,labeled,v3f2,1.5,2,54,10.06243896484375,4.491113662719727,0.6303491592407227,1.4550421953201291,0.0979040339589119,0.3418702080089133,100,0.001,8,0.05,0.3125,1.8518518518518516,0.7245370370370371,33.33333333333333,0.9421296296296297,81.48148148148148
labeled_v3f2_R1.5_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R1.5_seed3.npy,labeled,v3f2,1.5,3,58,13.086438179016113,4.309858322143555,0.6230944395065308,1.664478850364685,0.10483330488204956,0.14358416700270027,100,0.001,8,0.05,0.2974137931034483,1.7241379310344827,0.7306034482758621,22.413793103448278,0.9288793103448276,82.75862068965517
labeled_v3f2_R1.5_seed4,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R1.5_seed4.npy,labeled,v3f2,1.5,4,50,10.368268966674805,3.5975608825683594,0.6068361401557922,1.3445404589176178,0.09821711480617523,0.14285320800263435,100,0.001,8,0.05,0.29,0.0,0.7175,26.0,0.945,78.0
labeled_v3f3_R2_seed0,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f3_R2/modes_labeled_v3f3_R2_seed0.npy,labeled,v3f3,2.0,0,139,10.780232429504395,4.375128746032715,0.642457127571106,4.80954828262329,0.16664883494377136,0.1498737079964485,100,0.001,8,0.05,0.2760791366906475,2.877697841726619,0.6519784172661871,20.863309352517987,0.8480215827338129,57.55395683453237
