run_name,checkpoint,checkpoint_path,method,r_value,n_samples,seed,nfe,nfe_b0,nfe_b10,mean_b10_shift,status,all_modes,confidently_annotated_modes,covered_populations,covered_population_names,mean_purity_labeled_annotated,mean_unassigned_annotated,mean_knn_dist_annotated,confident_modes,mean_purity_labeled_conf,mean_unassigned_conf,mean_knn_dist_conf,elapsed_sec,modes_path,eval_path,best_path
all_b0_n500_R0.5_seed0,all,checkpoints/levine13_all_100k.pt,b0,0.5,500,0,500000,500000,505000,2.0672903060913086,ok,500,158,9,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9880214132714727,0.07563291139240506,1.0979558115376302,158,0.9880214132714727,0.07563291139240506,1.0979558115376302,1.4207210540771484,results_levine13/baseline_sample_sweep/modes_all_b0_n500_R0.5_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n500_R0.5_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n500_R0.5_seed0.csv
all_b0_n500_R0.8_seed0,all,checkpoints/levine13_all_100k.pt,b0,0.8,500,0,500000,500000,505000,2.0672903060913086,ok,494,154,9,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9877137895031136,0.07662337662337662,1.1048766479367051,154,0.9877137895031136,0.07662337662337662,1.1048766479367051,1.2442171573638916,results_levine13/baseline_sample_sweep/modes_all_b0_n500_R0.8_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n500_R0.8_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n500_R0.8_seed0.csv
all_b0_n500_R1_seed0,all,checkpoints/levine13_all_100k.pt,b0,1.0,500,0,500000,500000,505000,2.0672903060913086,ok,480,143,9,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9885628385908308,0.07804195804195804,1.1252943932272172,143,0.9885628385908308,0.07804195804195804,1.1252943932272172,1.2255289554595947,results_levine13/baseline_sample_sweep/modes_all_b0_n500_R1_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n500_R1_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n500_R1_seed0.csv
all_b0_n500_R1.2_seed0,all,checkpoints/levine13_all_100k.pt,b0,1.2,500,0,500000,500000,505000,2.0672903060913086,ok,450,125,9,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9875572324907057,0.07823999999999999,1.145878530411014,125,0.9875572324907057,0.07823999999999999,1.145878530411014,1.1180369853973389,results_levine13/baseline_sample_sweep/modes_all_b0_n500_R1.2_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n500_R1.2_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n500_R1.2_seed0.csv
all_b0_n500_R1.5_seed0,all,checkpoints/levine13_all_100k.pt,b0,1.5,500,0,500000,500000,505000,2.0672903060913086,ok,400,110,9,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9878711310302348,0.07545454545454545,1.1498902618430702,110,0.9878711310302348,0.07545454545454545,1.1498902618430702,1.0782241821289062,results_levine13/baseline_sample_sweep/modes_all_b0_n500_R1.5_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n500_R1.5_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n500_R1.5_seed0.csv
all_b0_n500_R2_seed0,all,checkpoints/levine13_all_100k.pt,b0,2.0,500,0,500000,500000,505000,2.0672903060913086,ok,293,65,9,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9867838665519459,0.0713846153846154,1.146707565364993,65,0.9867838665519459,0.0713846153846154,1.146707565364993,1.2930209636688232,results_levine13/baseline_sample_sweep/modes_all_b0_n500_R2_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n500_R2_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n500_R2_seed0.csv
all_b0_n500_R2.5_seed0,all,checkpoints/levine13_all_100k.pt,b0,2.5,500,0,500000,500000,505000,2.0672903060913086,ok,203,47,9,CD11bhi_Monocyte_cells;Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9920486322179727,0.06574468085106383,1.0939866531839213,47,0.9920486322179727,0.06574468085106383,1.0939866531839213,1.0980260372161865,results_levine13/baseline_sample_sweep/modes_all_b0_n500_R2.5_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n500_R2.5_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n500_R2.5_seed0.csv
all_b0_n500_R3_seed0,all,checkpoints/levine13_all_100k.pt,b0,3.0,500,0,500000,500000,505000,2.0672903060913086,ok,133,33,8,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9915071774769925,0.07,1.047331333082035,33,0.9915071774769925,0.07,1.047331333082035,0.8691539764404297,results_levine13/baseline_sample_sweep/modes_all_b0_n500_R3_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n500_R3_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n500_R3_seed0.csv
all_b0_n500_R4_seed0,all,checkpoints/levine13_all_100k.pt,b0,4.0,500,0,500000,500000,505000,2.0672903060913086,ok,64,17,8,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9953691428598271,0.07058823529411767,0.9963421415385508,17,0.9953691428598271,0.07058823529411767,0.9963421415385508,0.6458101272583008,results_levine13/baseline_sample_sweep/modes_all_b0_n500_R4_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b0_n500_R4_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b0_n500_R4_seed0.csv
all_b10_n500_R0.5_seed0,all,checkpoints/levine13_all_100k.pt,b10,0.5,500,0,505000,500000,505000,2.0672903060913086,ok,491,149,8,Erythroblast_cells;Mature_CD38lo_B_cells;Mature_CD4+_T_cells;Mature_CD8+_T_cells;Megakaryocyte_cells;NK_cells;Naive_CD4+_T_cells;Naive_CD8+_T_cells,0.9915903908805815,0.09416107382550336,1.1319067456858571,149,0.9915903908805815,0.09416107382550336,1.1319067456858571,1.4259588718414307,results_levine13/baseline_sample_sweep/modes_all_b10_n500_R0.5_seed0.npy,results_levine13/baseline_sample_sweep/eval_all_b10_n500_R0.5_seed0.csv,results_levine13/baseline_sample_sweep/best_per_population_all_b10_n500_R0.5_seed0.csv
